"FileSize","Mean_BubbleSort","Lower_BubbleSort","Upper_BubbleSort","Mean_MergeSort","Lower_MergeSort","Upper_MergeSort","Mean_QuickSort","Lower_QuickSort","Upper_QuickSort","Mean_SelectionSort","Lower_SelectionSort","Upper_SelectionSort","Mean_InsertionSort","Lower_InsertionSort","Upper_InsertionSort"
3,1203.75,1171.66854627241,1235.83145372759,1185.15,1157.86314616498,1212.43685383502,1143.2,1132.58764127931,1153.81235872069,1148.85,1134.51439348044,1163.18560651956,1134.8,1126.45880537662,1143.14119462338
4,1145.45,1130.86944463201,1160.03055536799,1176.15,1162.86276728736,1189.43723271264,1150.85,1138.29343931134,1163.40656068866,1139.3,1128.56934984104,1150.03065015896,1136.55,1126.57965112268,1146.52034887732
5,1148.05,1130.79417224562,1165.30582775438,1168.75,1153.07923987009,1184.42076012991,1150.5,1140.60273427768,1160.39726572232,1150.05,1138.61778096039,1161.48221903961,1136.75,1129.86178150252,1143.63821849748
6,1145,1135.38215261921,1154.61784738079,1162.15,1152.23670220709,1172.06329779291,1139.6,1131.38160979116,1147.81839020884,1151.4,1138.10571973176,1164.69428026824,1150.75,1137.59040007299,1163.90959992701
7,1148.1,1133.26048975193,1162.93951024807,1170.85,1153.31661224766,1188.38338775234,1140.35,1129.11737200394,1151.58262799606,1147.85,1136.38776993015,1159.31223006985,1152.3,1139.44688044818,1165.15311955182
9,1145.95,1136.18055142625,1155.71944857375,1160.4,1149.22280184508,1171.57719815492,1138.7,1128.01888347236,1149.38111652764,1141.7,1130.34404373672,1153.05595626328,1152.85,1138.18681739379,1167.51318260621
10,1150,1131.33060580875,1168.66939419125,1172.25,1156.15248495829,1188.34751504171,1156.45,1138.12936824127,1174.77063175873,1142.7,1126.09956272014,1159.30043727987,1154.65,1135.48017814341,1173.81982185659
12,1148.7,1135.39991101839,1162.00008898161,1182.1,1163.93328477087,1200.26671522913,1161.5,1136.89121027336,1186.10878972664,1157.1,1138.67244006305,1175.52755993695,1158.7,1140.95887143491,1176.44112856509
15,1168,1149.10351320801,1186.89648679199,1192.45,1172.58658883495,1212.31341116505,1168.75,1147.96075614789,1189.53924385211,1158.85,1141.75472409723,1175.94527590277,1165.6,1144.18871443269,1187.01128556731
18,1161.5,1143.47049209047,1179.52950790953,1198.2,1173.75756131042,1222.64243868958,1174,1142.7179403658,1205.2820596342,1167.55,1150.7683437242,1184.3316562758,1160.55,1143.00990697965,1178.09009302035
21,1176.9,1155.68207306898,1198.11792693102,1185.25,1167.80850926112,1202.69149073888,1165.15,1146.04282370492,1184.25717629508,1164.65,1146.89122174101,1182.40877825899,1163.05,1149.76693252338,1176.33306747662
35,1169.55,1153.71560156686,1185.38439843314,1198.95,1175.66757991838,1222.23242008162,1167.55,1150.25946693968,1184.84053306032,1164.55,1149.69839501621,1179.40160498379,1174.35,1154.50238139704,1194.19761860296
30,1166.1,1149.9616979877,1182.2383020123,1191.05,1173.79550845912,1208.30449154088,1169.15,1152.83241146667,1185.46758853334,1167.95,1152.56087859523,1183.33912140477,1174,1159.13790018864,1188.86209981136
36,1191.7,1161.75589304439,1221.64410695561,1196.95,1172.24630714664,1221.65369285336,1191.2,1161.14157567131,1221.25842432869,1186.7,1164.65902928726,1208.74097071274,1179.6,1158.21565243505,1200.98434756495
43,1179.75,1154.33535707124,1205.16464292876,1202.1,1179.04176139582,1225.15823860418,1188.65,1165.47089938205,1211.82910061795,1185.95,1162.83554647585,1209.06445352415,1179.2,1154.98263154546,1203.41736845454
52,1189.95,1165.81327505186,1214.08672494814,1204.25,1182.90046616138,1225.59953383862,1186.7,1162.13312649528,1211.26687350472,1195.2,1168.46917200416,1221.93082799584,1189.3,1153.75681091099,1224.84318908901
